         410855 function calls (410654 primitive calls) in 15.591 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      516    0.034    0.000    0.034    0.000 {method '__exit__' of '_io._IOBase' objects}
        1    0.000    0.000    0.030    0.030 C:\Users\moham\AppData\Local\Temp\ipykernel_18824\1608379810.py:52(<listcomp>)
      258    0.001    0.000    0.030    0.000 Z:\Python311\Lib\concurrent\futures\thread.py:161(submit)
      258    0.001    0.000    0.027    0.000 Z:\Python311\Lib\concurrent\futures\thread.py:180(_adjust_thread_count)
      299    0.026    0.000    0.026    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.024    0.024    0.024    0.024 {built-in method torch.stack}
        1    0.003    0.003    0.024    0.024 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\sklearn\utils\extmath.py:287(_randomized_range_finder)
       15    0.000    0.000    0.023    0.002 Z:\Python311\Lib\threading.py:945(start)
        1    0.021    0.021    0.022    0.022 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\linalg\_decomp_svd.py:16(svd)
       61    0.001    0.000    0.020    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:1150(__str__)
       61    0.009    0.000    0.017    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:464(format_meter)
        2    0.000    0.000    0.017    0.008 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\std.py:952(__init__)
       61    0.001    0.000    0.016    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\utils.py:378(disp_len)
    67408    0.016    0.000    0.016    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.016    0.016 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\linalg\_decomp_qr.py:27(qr)
        2    0.015    0.008    0.015    0.008 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\linalg\_decomp_qr.py:13(safecall)
       61    0.001    0.000    0.015    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\utils.py:374(_text_width)
      516    0.005    0.000    0.015    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:435(_write_array_header)
       61    0.001    0.000    0.014    0.000 {built-in method builtins.sum}
     3984    0.012    0.000    0.013    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\tqdm\utils.py:375(<genexpr>)
    33411    0.013    0.000    0.013    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\distances.py:22(euclidean)
      777    0.004    0.000    0.009    0.000 <frozen ntpath>:107(join)
      476    0.004    0.000    0.008    0.000 Z:\Python311\Lib\concurrent\futures\_base.py:177(_yield_finished_futures)
        1    0.000    0.000    0.007    0.007 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\spectral.py:263(spectral_layout)
        1    0.000    0.000    0.007    0.007 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\spectral.py:395(_spectral_layout)
      516    0.000    0.000    0.006    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:411(_wrap_header_guess_version)
      516    0.003    0.000    0.005    0.000 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\numpy\lib\format.py:387(_wrap_header)
     1554    0.004    0.000    0.005    0.000 <frozen ntpath>:154(splitdrive)
        8    0.004    0.001    0.005    0.001 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\scipy\linalg\_decomp_lu.py:213(lu)
      612    0.004    0.000    0.004    0.000 {built-in method _thread.allocate_lock}
       79    0.001    0.000    0.004    0.000 Z:\Python311\Lib\threading.py:562(__init__)
      258    0.003    0.000    0.004    0.000 Z:\Python311\Lib\concurrent\futures\_base.py:428(result)
        1    0.000    0.000    0.004    0.004 z:\CODING\UNI\BIG_DATA\venv\Lib\site-packages\umap\umap_.py:442(fuzzy_simplicial_set)
