         2609379 function calls (2609282 primitive calls) in 9.795 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       41    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:164(__len__)
      6/5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:436(_get_literal_prefix)
       64    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:256(match)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
        6    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:2560(_get_value)
       27    0.000    0.000    0.000    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:662(spec_from_loader)
        9    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       28    0.000    0.000    0.000    0.000 <frozen os>:777(check_str)
        2    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:386(_mk_bitmap)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:268(basename)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:98(closegroup)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
        1    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:188(parse_weights)
       24    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:293(tell)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
        8    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_compiler.py:398(_simple)
        1    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       32    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:449(_uniq)
        1    0.000    0.000    0.000    0.000 <frozen ntpath>:236(split)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
       19    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        1    0.000    0.000    0.000    0.000 {method 'cursor' of 'sqlite3.Connection' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\argparse.py:1624(_get_handler)
        1    0.000    0.000    0.000    0.000 c:\Users\Asus Zenbook\OneDrive\Dokumente\GITHUB\BigData\src\similarity\color.py:23(to_uint8)
        1    0.000    0.000    0.000    0.000 {method 'argsort' of 'numpy.ndarray' objects}
        9    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
       30    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:86(opengroup)
        5    0.000    0.000    0.000    0.000 C:\Anaconda3\Lib\re\_parser.py:231(__init__)
       79    0.000    0.000    0.000    0.000 {built-in method nt.fspath}
