         2608862 function calls (2608772 primitive calls) in 7.468 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.001    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:743(compile)
       89    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        1    0.000    0.000    0.001    0.001 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\locale.py:1(<module>)
        7    0.000    0.000    0.001    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\shutil.py:1439(get_terminal_size)
        7    0.001    0.000    0.001    0.000 {built-in method nt.get_terminal_size}
        3    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\argparse.py:1352(__init__)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        4    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:970(parse)
      7/4    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:451(_parse_sub)
      8/5    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_parser.py:511(_parse)
       12    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:4730(_get_indexes)
        6    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:2100(clip)
        6    0.000    0.000    0.000    0.000 {method 'clip' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:4565(_quantile_is_valid)
        4    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:576(_code)
        6    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\_methods.py:90(_clip)
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        5    0.000    0.000    0.000    0.000 {method 'read' of '_io.BufferedReader' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
       12    0.000    0.000    0.000    0.000 {built-in method nt._path_exists}
       24    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\fromnumeric.py:2421(all)
       11    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
     16/4    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\re\_compiler.py:37(_compile)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
        1    0.000    0.000    0.000    0.000 {method 'close' of 'sqlite3.Connection' objects}
        2    0.000    0.000    0.000    0.000 {built-in method nt._path_isfile}
       24    0.000    0.000    0.000    0.000 {method 'flatten' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\arraysetops.py:138(unique)
       12    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\function_base.py:4641(_lerp)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       48    0.000    0.000    0.000    0.000 {method 'any' of 'numpy.generic' objects}
       12    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\lib\arraysetops.py:323(_unique1d)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:304(acquire)
        1    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\collections\__init__.py:358(namedtuple)
        7    0.000    0.000    0.000    0.000 {method 'fetchall' of 'sqlite3.Cursor' objects}
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:632(cached)
       24    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.generic' objects}
        7    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       36    0.000    0.000    0.000    0.000 C:\Users\Asus Zenbook\AppData\Local\Programs\Python\Python313\Lib\site-packages\numpy\core\numerictypes.py:357(issubdtype)
